slotID,board,L clean,L blast,R clean,R blast,total
0,C-51 #1,150.75,67.94,66.68,0.00,285.38
1,D-6 #1,150.75,85.89,66.68,0.00,303.32
2,A-3 #1,150.75,491.53,70.33,77.06,789.67
3,B-49 #1,105.11,0.00,0.00,0.00,105.11
4,C-17 #1,150.75,60.89,62.78,60.42,334.84
5,E-29 #1,150.75,189.66,66.68,0.00,407.09
6,B-48 #2,108.66,572.05,0.00,0.00,680.71
7,D-47 #1,150.75,0.00,66.68,0.00,217.43
8,D-63 #1,150.75,68.04,66.68,0.00,285.48
9,B-21 #1,150.75,66.16,69.73,0.00,286.64 
10,B-47 #2,105.11,166.94,0.00,0.00,272.05
11,B-24 #1,150.75,45.44,92.02,0.00,288.21
12,D-11 #1,150.75,76.17,66.68,0.00,293.60
13,A-23 #1,134.66,151.59,0.00,0.00,286.25
14,B-37 #1,105.11,126.47,0.00,0.00,231.58
15,A-37 #1,136.05,143.59,110.62,46.23,436.50
16,F-49 #1,150.75,118.23,66.68,0.00,335.66
17,A-30 #2,134.66,276.28,0.00,0.00,410.95
18,D-14 #1,105.11,134.68,0.00,0.00,239.79
19,A-49 #1,150.75,145.12,92.02,0.00,387.88
20,E-5 #1,100.35,48.75,115.88,58.20,323.18
21,A-12 #1,134.66,393.50,0.00,0.00,528.17
22,B-36 #2,105.11,303.30,0.00,0.00,408.40
23,A-43 #1,150.75,64.65,97.42,55.91,368.72
24,C-40 #1,150.75,0.00,66.68,0.00,217.43
25,A-12 #2,134.66,359.65,0.00,0.00,494.32
26,B-42 #1,105.11,0.00,0.00,0.00,105.11
27,A-46 #1,150.75,155.15,69.82,47.02,422.75
28,B-63 #1,150.75,134.77,66.68,0.00,352.21
29,A-15 #1,134.66,153.08,0.00,0.00,287.74
30,B-35 #1,105.11,42.72,0.00,0.00,147.82
31,A-51 #1,150.75,153.90,92.92,75.42,472.99
32,C-44 #1,97.55,0.00,118.28,67.99,283.82
33,A-28 #2,134.66,84.23,0.00,0.00,218.89
34,B-13 #2,105.11,0.00,0.00,0.00,105.11
35,B-17 #1,107.70,0.00,134.92,96.40,339.02
36,D-25 #1,87.75,0.00,126.68,46.95,261.38
37,A-14 #1,134.66,144.08,0.00,0.00,278.75
38,D-10 #1,105.11,164.71,0.00,0.00,269.82
39,B-30 #1,150.75,0.00,92.02,0.00,242.77
40,B-62 #1,150.75,93.09,66.68,0.00,310.53
41,A-10 #1,134.66,366.32,0.00,0.00,500.99
42,B-34 #1,105.11,0.00,0.00,0.00,105.11
43,B-27 #1,150.75,78.84,92.02,0.00,321.60
44,C-43 #1,150.75,94.42,66.68,0.00,311.86
45,A-18 #1,134.66,0.00,0.00,0.00,134.66
46,B-4 #1,105.11,264.71,0.00,0.00,369.81
47,F-28 #1,150.75,298.75,94.12,188.72,732.34
48,H-16-t #1,150.75,58.62,66.68,0.00,276.05
49,A-30 #1,134.66,203.44,0.00,0.00,338.11
50,A-15 #2,105.11,283.79,0.00,0.00,388.90
51,B-26 #1,118.90,58.91,125.32,106.93,410.05
52,D-3 #1,98.95,0.00,117.08,91.32,307.35
53,A-23 #2,134.66,560.05,0.00,0.00,694.71
54,B-45 #2,105.11,185.40,0.00,0.00,290.50
55,A-38 #1,143.05,126.48,104.62,42.87,417.02
56,C-28 #1,150.75,0.00,66.68,0.00,217.43
57,A-28 #1,134.66,353.69,0.00,0.00,488.36
58,A-14 #2,105.11,187.94,0.00,0.00,293.04
59,A-6 #1,150.75,51.46,92.02,0.00,294.22
60,E-19 #1,150.75,47.17,66.68,0.00,264.60
61,A-29 #1,134.66,39.30,0.00,0.00,173.97
62,B-45 #1,105.11,362.94,0.00,0.00,468.04
63,A-2 #1,122.75,72.25,122.02,116.20,433.22
64,C-38 #1,132.90,67.92,87.98,72.41,361.21
